Siruta,Localitate,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica
144376,Bradeni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54270,Teregova,519.7282795963574,0.0,2669.777258183608,0.0,0.0,0.0,0.0,0.0,0.0
21506,Blagesti,79.13465812524512,147.00823637076743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168960,Bunesti,0.0,0.0,11.192170818505337,0.0,0.0,0.0,0.0,0.0,0.0
136198,Valcanesti,0.0,0.0,0.0,0.0,0.0,141.3516254876463,0.0,0.0,0.0
152582,Cosmesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95239,Rediu,31.377271982970363,0.0,57.12166366464712,0.0,0.0,75.63812018994597,0.0,209.89896839692156,0.0
160779,Maliuc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70673,Amarastii De Sus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87059,Municipiul Lupeni,209.1205399838152,4695.225079084823,28.35069521077025,0.0,0.0,76.60222173177371,0.0,0.0,79.34812035606562
103443,Gradistea,7.242898180657517,0.0,10.126077242259814,0.0,0.0,0.0,0.0,0.0,0.0
62486,Oltina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37912,Lunca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78873,Bengesti-Ciocadia,0.0,0.0,1203.4767047207652,0.0,0.0,0.0,87.379821042888,0.0,0.0
144410,Bruiu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0981661272923,0.0
29724,Ineu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46108,Chiliile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54305,Ticvaniu Mare,0.0,0.0,1565.2218890554723,0.0,0.0,0.0,0.0,0.0,0.0
87077,Oras Petrila,296.2888977317947,73.4900517309988,173.26736967767607,0.0,0.0,0.0,0.0,545.1658575407879,0.0
152617,Crangeni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0829772079772,0.0
5167,Livezile,162.29110936270652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103470,Greaca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119858,Taureni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136241,Cocorastii Colt,22.44675150703282,0.0,213.69624916275956,0.0,0.0,0.0,0.0,0.0,0.0
13365,Maracineni,27875.83961904762,2264.588761904762,2102.436380952381,1234.8954285714285,0.0,38554.328,0.0,19.668,0.0
128052,Perieti,0.0,26.341463414634145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21560,Bogdanesti,5614.670034843206,0.6968641114982579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136250,Olari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95293,Tomesti,335.9260853964837,97.36304269824184,315.50950843200576,0.0,3.372802296376032,0.0,0.0,118.59074273412271,0.0
160831,Mihai Bravu,645.7581602373888,0.0,10.800445103857566,0.0,0.0,0.0,0.0,83.9729228486647,120.66283382789318
29760,Lazuri De Beius,561.9759493670886,87.09493670886076,0.0,0.0,0.0,0.0,0.0,42.24050632911393,1012.7069620253164
111685,Floresti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37958,Manoleasa,0.0,0.0,27.718227179336658,0.0,0.0,0.0,0.0,0.0,0.0
